Name,Club,Games,Tries,Try Assists,Points,Possessions,Runs,Run Metres,Pick & Drives,Linebreaks,LB Assists,Tackle Busts,Offloads,Passes,Lineout Wins Own,Lineout Wins Opp,Kicks,Kick Metres,Kick Errors
Scott Scrafton,Hurricanes,5,0,0,0,29,23,99,1,0,0,2,1,11,8,0,0,0,0
Mitch Short,Waratahs,5,0,0,0,213,2,5,0,0,0,0,0,199,0,0,4,103,0
Rob Simmons,Waratahs,5,1,0,5,37,25,120,6,0,0,4,2,27,20,1,0,0,0
Irae Simone,Brumbies,5,2,3,10,86,31,216,0,3,4,6,3,42,0,0,11,287,1
Scott Sio,Brumbies,5,0,0,0,18,11,43,0,0,0,0,0,5,0,0,0,0,0
Courtnall Skosan,Lions,5,2,0,10,33,19,131,0,2,0,6,1,9,0,0,2,26,1
Bradley Slater,Chiefs,5,0,0,0,12,6,20,1,0,0,0,0,3,0,0,0,0,0
Aaron Smith,Highlanders,5,1,0,8,329,18,112,0,1,2,2,0,263,0,0,41,873,2
Pita Gus Sowakula,Chiefs,5,1,1,5,56,36,183,5,1,1,5,3,20,1,0,0,0,0
Gerhardus Steenekamp,Bulls,5,0,0,0,18,13,56,2,1,0,3,1,4,0,0,0,0,0
Madosh Tambwe,Sharks,5,3,1,15,34,16,197,0,1,0,5,0,11,0,0,1,36,0
Tautalatasi Tasi,Sunwolves,5,1,0,5,30,21,160,0,3,1,6,6,11,0,0,1,17,0
Codie Taylor,Crusaders,5,1,0,5,36,20,121,1,3,1,5,1,13,0,0,0,0,0
Ben Te'o,Sunwolves,5,0,1,0,76,41,230,0,0,3,10,7,30,0,0,4,98,0
