Name,Club,Games,Conversions,Conversion Attempts,Penalty Goals,Penalty Goal Attempts,Goal Kicking %,Drop Goals,Drop Goal Attempts,Drop Goal %,Points,Kicks,Kick Metres,Kick Errors
Chad Solomon,Stormers,4,0,0,0,0,-,0,0,-,0,0,0,0
Ruan Steenkamp,Bulls,4,0,0,0,0,-,0,0,-,0,0,0,0
Shaun Stevenson,Chiefs,4,0,0,0,0,-,0,0,-,15,12,405,2
Te Toiroa Tahuriorangi,Chiefs,4,0,0,0,0,-,0,0,-,5,11,311,1
Vincent Tshituka,Lions,4,0,0,0,0,-,0,0,-,0,0,0,0
Quinn Tupaea,Chiefs,4,0,0,0,0,-,0,0,-,5,1,51,0
Tevita Tupou,Sunwolves,4,0,0,0,0,-,0,0,-,0,0,0,0
Isi Tu'ungafasi,Crusaders,4,0,0,0,0,-,0,0,-,0,0,0,0
Alistair Vermaak,Stormers,4,0,0,0,0,-,0,0,-,0,0,0,0
Sean Wainui,Chiefs,4,0,0,0,0,-,0,0,-,10,4,107,0
Andre Warner,Lions,4,0,0,0,0,-,0,0,-,5,18,517,1
