Name,Club,Games,Tries,Try Assists,Points,Possessions,Runs,Run Metres,Pick & Drives,Linebreaks,LB Assists,Tackle Busts,Offloads,Passes,Lineout Wins Own,Lineout Wins Opp,Kicks,Kick Metres,Kick Errors
J. Schoeman,SHA,5,0,0,0,2,1,5,0,0,0,0,1,1,0,0,0,0,0
R. Schoeman,LIO,5,0,0,0,54,44,203,2,1,1,2,2,9,10,0,0,0,0
S. Scrafton,HUR,5,0,0,0,29,23,99,1,0,0,2,1,11,8,0,0,0,0
M. Short,WAR,5,0,0,0,213,2,5,0,0,0,0,0,199,0,0,4,103,0
R. Simmons,WAR,5,1,0,5,37,25,120,6,0,0,4,2,27,20,1,0,0,0
I. Simone,BRU,5,2,3,10,86,31,216,0,3,4,6,3,42,0,0,11,287,1
S. Sio,BRU,5,0,0,0,18,11,43,0,0,0,0,0,5,0,0,0,0,0
C. Skosan,LIO,5,2,0,10,33,19,131,0,2,0,6,1,9,0,0,2,26,1
B. Slater,CHI,5,0,0,0,12,6,20,1,0,0,0,0,3,0,0,0,0,0
A. Smith,HIG,5,1,0,8,329,18,112,0,1,2,2,0,263,0,0,41,873,2
P. Sowakula,CHI,5,1,1,5,56,36,183,5,1,1,5,3,20,1,0,0,0,0
G. Steenekamp,BUL,5,0,0,0,18,13,56,2,1,0,3,1,4,0,0,0,0,0
